Days to Ship Actual,Sales Forecast,Ship Status,Days to Ship Scheduled,Sales per Customer,Profit Ratio,Category,City,Country,Customer Name,Days to Ship Actual (bin),Discount,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Sales (bin),Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
3,478,Shipped Late,1,$340.70 ,-10.00%,Furniture,Long Beach,United States,Jason Gross,2,20,1,12/28/2017,CA-2017-101322,90805,Novimex Turbo Task Chair,-34.0704,6,West,$0 ,340.704,Corporate,12/31/2017,First Class,California,Chairs
4,159,Shipped Early,6,$113.37 ,-2.90%,Furniture,Peoria,United States,Lori Olson,4,30,1,12/28/2017,CA-2017-163860,61604,"Padded Folding Chairs, Black, 4/Carton",-3.2392,2,Central,$0 ,113.372,Corporate,1/1/2018,Standard Class,Illinois,Chairs
4,111,Shipped Early,6,$78.85 ,-14.70%,Furniture,Round Rock,United States,Greg Hansen,4,32,1,12/28/2017,CA-2017-136539,78664,"Bush Westfield Collection Bookcases, Medium Cherry Finish",-11.596,2,Central,$0 ,78.8528,Consumer,1/1/2018,Standard Class,Texas,Bookcases
4,11,Shipped Early,6,$7.97 ,-30.00%,Furniture,Peoria,United States,Lori Olson,4,60,1,12/28/2017,CA-2017-163860,61604,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,-2.3904,3,Central,$0 ,7.968,Corporate,1/1/2018,Standard Class,Illinois,Furnishings
4,4,Shipped Early,6,$2.96 ,-47.50%,Furniture,Peoria,United States,Lori Olson,4,60,1,12/28/2017,CA-2017-163860,61604,3M Hangers With Command Adhesive,-1.406,2,Central,$0 ,2.96,Corporate,1/1/2018,Standard Class,Illinois,Furnishings
3,2,Shipped On Time,3,$1.19 ,-83.30%,Office Supplies,Loveland,United States,Pamela Coakley,2,70,1,12/28/2017,US-2017-162068,80538,Avery Reinforcements for Hole-Punch Pages,-0.99,2,West,$0 ,1.188,Corporate,12/31/2017,Second Class,Colorado,Binders
4,2,Shipped Early,6,$1.68 ,-160.00%,Office Supplies,Peoria,United States,Lori Olson,4,80,1,12/28/2017,CA-2017-163860,61604,Computer Printout Index Tabs,-2.688,5,Central,$0 ,1.68,Corporate,1/1/2018,Standard Class,Illinois,Binders
0,19,Shipped On Time,0,$13.25 ,27.50%,Office Supplies,Newark,United States,Dan Reichenbach,0,20,1,12/27/2017,CA-2017-134404,43055,BIC Brite Liner Highlighters,3.6432,4,East,$0 ,13.248,Corporate,12/27/2017,Same Day,Ohio,Art
0,230,Shipped On Time,0,$164.39 ,-21.70%,Technology,Newark,United States,Dan Reichenbach,0,40,1,12/27/2017,CA-2017-134404,43055,AT&T 1080 Corded phone,-35.6174,2,East,$0 ,164.388,Corporate,12/27/2017,Same Day,Ohio,Phones
6,63,Shipped On Time,6,$44.75 ,46.00%,Office Supplies,Burlington,United States,Patrick O'Brill,5,0,1,12/26/2017,US-2017-106705,52601,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",20.585,5,Central,$0 ,44.75,Consumer,1/1/2018,Standard Class,Iowa,Paper
0,1052,Shipped On Time,0,$750.68 ,5.00%,Office Supplies,Fremont,United States,Yoseph Carroll,0,0,1,12/26/2017,CA-2017-121741,68025,Tennsco Single-Tier Lockers,37.534,2,Central,$478 ,750.68,Corporate,12/26/2017,Same Day,Nebraska,Storage
6,22,Shipped On Time,6,$16.03 ,35.00%,Office Supplies,Odessa,United States,Karen Bern,5,20,1,12/26/2017,CA-2017-136238,79762,Xerox 1959,5.6112,3,Central,$0 ,16.032,Corporate,1/1/2018,Standard Class,Texas,Paper
4,4,Shipped Early,6,$3.13 ,-83.30%,Office Supplies,Columbus,United States,Tracy Collins,4,70,1,12/26/2017,CA-2017-112487,43229,Acco Economy Flexible Poly Round Ring Binder,-2.61,2,East,$0 ,3.132,Home Office,12/30/2017,Standard Class,Ohio,Binders
5,59,Shipped Early,6,$41.96 ,26.00%,Furniture,New York City,United States,Cynthia Voltz,5,0,1,12/25/2017,CA-2017-146780,10035,Magnifier Swing Arm Lamp,10.9096,2,East,$0 ,41.96,Corporate,12/30/2017,Standard Class,New York,Furnishings
3,134,Shipped On Time,3,$95.94 ,10.00%,Office Supplies,Louisville,United States,Joni Wasserman,2,0,1,12/25/2017,CA-2017-163510,40214,Fellowes Bankers Box Stor/Drawer Steel Plus,9.594,3,South,$0 ,95.94,Consumer,12/28/2017,Second Class,Kentucky,Storage
3,427,Shipped On Time,3,$304.45 ,25.00%,Furniture,Louisville,United States,Joni Wasserman,2,0,1,12/25/2017,CA-2017-163510,40214,"Global Value Mid-Back Manager's Chair, Gray",76.1125,5,South,$0 ,304.45,Consumer,12/28/2017,Second Class,Kentucky,Chairs
4,135,Shipped Late,3,$96.08 ,48.00%,Office Supplies,Huntsville,United States,Mick Hernandez,4,0,1,12/25/2017,CA-2017-114055,35810,14-7/8 x 11 Blue Bar Computer Printout Paper,46.1184,2,South,$0 ,96.08,Home Office,12/29/2017,Second Class,Alabama,Paper
4,5,Shipped Late,3,$3.62 ,33.00%,Office Supplies,Huntsville,United States,Mick Hernandez,4,0,1,12/25/2017,CA-2017-114055,35810,Assorted Color Push Pins,1.1946,2,South,$0 ,3.62,Home Office,12/29/2017,Second Class,Alabama,Fasteners
4,882,Shipped Late,3,$629.10 ,48.00%,Office Supplies,Huntsville,United States,Mick Hernandez,4,0,1,12/25/2017,CA-2017-114055,35810,Xerox 1915,301.968,6,South,$478 ,629.1,Home Office,12/29/2017,Second Class,Alabama,Paper
4,127,Shipped Late,3,$90.48 ,26.00%,Technology,Huntsville,United States,Mick Hernandez,4,0,1,12/25/2017,CA-2017-114055,35810,AT&T 17929 Lendline Telephone,23.5248,2,South,$0 ,90.48,Home Office,12/29/2017,Second Class,Alabama,Phones
4,379,Shipped Early,6,$270.62 ,1.00%,Office Supplies,Los Angeles,United States,Fred Hopkins,4,0,1,12/25/2017,CA-2017-121398,90008,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",2.7062,2,West,$0 ,270.62,Corporate,12/29/2017,Standard Class,California,Storage
4,45,Shipped Early,6,$31.80 ,43.00%,Technology,East Orange,United States,Patrick O'Donnell,4,0,1,12/25/2017,CA-2017-108756,7017,Memorex Micro Travel Drive 4 GB,13.674,3,East,$0 ,31.8,Consumer,12/29/2017,Standard Class,New Jersey,Accessories
4,269,Shipped Early,6,$191.98 ,2.50%,Furniture,New York City,United States,Ralph Arnett,4,20,1,12/25/2017,CA-2017-161480,10035,"Bush Andora Bookcase, Maple/Graphite Gray Finish",4.7996,2,East,$0 ,191.984,Consumer,12/29/2017,Standard Class,New York,Bookcases
5,223,Shipped Early,6,$158.93 ,26.30%,Technology,Fairfield,United States,Susan Vittorini,5,20,1,12/25/2017,US-2017-147669,45014,Maxell 4.7GB DVD-R,41.7186,7,East,$0 ,158.928,Consumer,12/30/2017,Standard Class,Ohio,Accessories
5,55,Shipped Early,6,$39.31 ,32.50%,Office Supplies,Fairfield,United States,Susan Vittorini,5,20,1,12/25/2017,US-2017-147669,45014,Staples,12.7764,13,East,$0 ,39.312,Consumer,12/30/2017,Standard Class,Ohio,Fasteners
4,215,Shipped Early,6,$153.55 ,33.80%,Office Supplies,Los Angeles,United States,Fred Hopkins,4,20,1,12/25/2017,CA-2017-121398,90008,GBC DocuBind P50 Personal Binding Machine,51.8238,3,West,$0 ,153.552,Corporate,12/29/2017,Standard Class,California,Binders
4,5,Shipped Early,6,$3.86 ,36.30%,Office Supplies,Everett,United States,Giulietta Dortch,4,20,1,12/25/2017,CA-2017-162880,98208,Tuff Stuff Recycled Round Ring Binders,1.3978,1,West,$0 ,3.856,Corporate,12/29/2017,Standard Class,Washington,Binders
7,63,Shipped Late,6,$44.69 ,11.30%,Office Supplies,Dallas,United States,Guy Armstrong,6,20,1,12/25/2017,CA-2017-134194,75081,Staple remover,5.0274,7,Central,$0 ,44.688,Consumer,1/1/2018,Standard Class,Texas,Supplies
7,44,Shipped Late,6,$31.74 ,7.50%,Office Supplies,Dallas,United States,Guy Armstrong,6,20,1,12/25/2017,CA-2017-134194,75081,Newell 34,2.3808,2,Central,$0 ,31.744,Consumer,1/1/2018,Standard Class,Texas,Art
3,29,Shipped Late,1,$21.00 ,27.50%,Furniture,Hialeah,United States,Jennifer Halladay,2,20,1,12/25/2017,CA-2017-105620,33012,"Eldon 400 Class Desk Accessories, Black Carbon",5.775,3,South,$0 ,21,Consumer,12/28/2017,First Class,Florida,Furnishings
5,383,Shipped Early,6,$273.06 ,-38.30%,Furniture,Fairfield,United States,Susan Vittorini,5,40,1,12/25/2017,US-2017-147669,45014,Hon Rectangular Conference Tables,-104.673,2,East,$0 ,273.06,Consumer,12/30/2017,Standard Class,Ohio,Tables
3,168,Shipped Late,1,$120.00 ,-6.00%,Technology,Hialeah,United States,Jennifer Halladay,2,50,1,12/25/2017,CA-2017-105620,33012,Lexmark 20R1285 X6650 Wireless All-in-One Printer,-7.2,2,South,$0 ,120,Consumer,12/28/2017,First Class,Florida,Machines
5,18,Shipped Early,6,$13.02 ,-80.00%,Office Supplies,Fairfield,United States,Susan Vittorini,5,70,1,12/25/2017,US-2017-147669,45014,Satellite Sectional Post Binders,-10.4184,1,East,$0 ,13.023,Consumer,12/30/2017,Standard Class,Ohio,Binders
7,55,Shipped Late,6,$39.58 ,-150.00%,Office Supplies,Dallas,United States,Guy Armstrong,6,80,1,12/25/2017,CA-2017-134194,75081,Wilson Jones Legal Size Ring Binders,-59.373,9,Central,$0 ,39.582,Consumer,1/1/2018,Standard Class,Texas,Binders
7,57,Shipped Late,6,$40.98 ,-160.00%,Office Supplies,Dallas,United States,Guy Armstrong,6,80,1,12/25/2017,CA-2017-134194,75081,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",-65.568,5,Central,$0 ,40.98,Consumer,1/1/2018,Standard Class,Texas,Binders
7,4,Shipped Late,6,$3.17 ,-160.00%,Office Supplies,Dallas,United States,Guy Armstrong,6,80,1,12/25/2017,CA-2017-134194,75081,"Wilson Jones 1"" Hanging DublLock Ring Binders",-5.0688,3,Central,$0 ,3.168,Consumer,1/1/2018,Standard Class,Texas,Binders
5,50,Shipped Early,6,$35.91 ,27.00%,Office Supplies,New York City,United States,Roy Französisch,5,0,1,12/24/2017,CA-2017-117933,10024,Staple holder,9.6957,3,East,$0 ,35.91,Consumer,12/29/2017,Standard Class,New York,Appliances
7,1407,Shipped Late,6,"$1,003.62 ",0.00%,Office Supplies,Seattle,United States,Alan Hwang,6,0,1,12/24/2017,CA-2017-147956,98105,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,0,6,West,$956 ,1003.62,Consumer,12/31/2017,Standard Class,Washington,Storage
5,53,Shipped Early,6,$37.93 ,18.00%,Furniture,Rochester,United States,Ann Chong,5,0,1,12/24/2017,CA-2017-169411,14609,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",6.8274,1,East,$0 ,37.93,Corporate,12/29/2017,Standard Class,New York,Furnishings
4,673,Shipped Early,6,$479.97 ,50.00%,Technology,Lafayette,United States,Christine Sundaresam,4,0,1,12/24/2017,CA-2017-124296,70506,DYMO CardScan Personal V9 Business Card Scanner,239.985,3,South,$478 ,479.97,Consumer,12/28/2017,Standard Class,Louisiana,Machines
4,326,Shipped Early,6,$232.88 ,26.00%,Furniture,Lafayette,United States,Christine Sundaresam,4,0,1,12/24/2017,CA-2017-124296,70506,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",60.5488,4,South,$0 ,232.88,Consumer,12/28/2017,Standard Class,Louisiana,Chairs
4,27,Shipped Early,6,$19.44 ,48.00%,Office Supplies,New Bedford,United States,Nick Crebassa,4,0,1,12/24/2017,CA-2017-148355,2740,Xerox 214,9.3312,3,East,$0 ,19.44,Corporate,12/28/2017,Standard Class,Massachusetts,Paper
4,17,Shipped Early,6,$12.30 ,50.00%,Office Supplies,New Bedford,United States,Nick Crebassa,4,0,1,12/24/2017,CA-2017-148355,2740,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",6.15,5,East,$0 ,12.3,Corporate,12/28/2017,Standard Class,Massachusetts,Binders
4,381,Shipped Early,6,$271.76 ,17.80%,Furniture,Oceanside,United States,Hunter Glantz,4,10,1,12/24/2017,CA-2017-169978,11572,DMI Arturo Collection Mission-style Design Wood Chair,48.3136,2,East,$0 ,271.764,Consumer,12/28/2017,Standard Class,New York,Chairs
5,25,Shipped Early,6,$17.88 ,31.30%,Office Supplies,New York City,United States,Andy Reiter,5,20,1,12/24/2017,CA-2017-154935,10024,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",5.5875,3,East,$0 ,17.88,Consumer,12/29/2017,Standard Class,New York,Binders
4,20,Shipped Early,6,$14.38 ,33.80%,Office Supplies,Oceanside,United States,Hunter Glantz,4,20,1,12/24/2017,CA-2017-169978,11572,"DXL Angle-View Binders with Locking Rings, Black",4.8519,3,East,$0 ,14.376,Consumer,12/28/2017,Standard Class,New York,Binders
1,4037,Shipped On Time,1,"$2,879.95 ",35.00%,Technology,Los Angeles,United States,Robert Marley,0,20,1,12/24/2017,CA-2017-145219,90049,Hewlett Packard LaserJet 3310 Copier,1007.9832,6,West,"$2,868 ",2879.952,Home Office,12/25/2017,First Class,California,Copiers
1,127,Shipped On Time,1,$90.48 ,37.50%,Office Supplies,Los Angeles,United States,Robert Marley,0,20,1,12/24/2017,CA-2017-145219,90049,Vinyl Sectional Post Binders,33.93,3,West,$0 ,90.48,Home Office,12/25/2017,First Class,California,Binders
7,12,Shipped Late,6,$8.54 ,22.50%,Furniture,Chandler,United States,James Lanier,6,20,1,12/24/2017,CA-2017-128734,85224,Acrylic Self-Standing Desk Frames,1.9224,4,West,$0 ,8.544,Home Office,12/31/2017,Standard Class,Arizona,Furnishings
7,1181,Shipped Late,6,$842.38 ,12.50%,Furniture,Chandler,United States,James Lanier,6,20,1,12/24/2017,CA-2017-128734,85224,Global Leather Executive Chair,105.297,3,West,$478 ,842.376,Home Office,12/31/2017,Standard Class,Arizona,Chairs
3,370,Shipped Late,1,$264.32 ,7.50%,Office Supplies,Dallas,United States,Neola Schneider,2,20,1,12/24/2017,CA-2017-121195,75220,Economy Rollaway Files,19.824,2,Central,$0 ,264.32,Consumer,12/27/2017,First Class,Texas,Storage
6,30,Shipped On Time,6,$21.31 ,37.50%,Office Supplies,Meridian,United States,Dave Poirier,5,20,1,12/24/2017,CA-2017-163671,83642,GBC Instant Index System for Binding Systems,7.992,3,West,$0 ,21.312,Corporate,12/30/2017,Standard Class,Idaho,Binders
0,19,Shipped On Time,0,$13.48 ,44.00%,Office Supplies,San Francisco,United States,Gary Zandusky,0,0,1,12/23/2017,US-2017-123463,94109,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",5.9312,4,West,$0 ,13.48,Consumer,12/23/2017,Same Day,California,Art
4,255,Shipped Early,6,$181.95 ,21.00%,Furniture,Middletown,United States,Filia McAdams,4,0,1,12/23/2017,CA-2017-127929,6457,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",38.2095,3,East,$0 ,181.95,Corporate,12/27/2017,Standard Class,Connecticut,Furnishings
5,87,Shipped Late,3,$62.04 ,28.00%,Office Supplies,Little Rock,United States,Monica Federle,5,0,1,12/23/2017,US-2017-162670,72209,"Personal Filing Tote with Lid, Black/Gray",17.3712,4,South,$0 ,62.04,Corporate,12/28/2017,Second Class,Arkansas,Storage
5,694,Shipped Late,3,$494.97 ,30.00%,Technology,Little Rock,United States,Monica Federle,5,0,1,12/23/2017,US-2017-162670,72209,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",148.491,3,South,$478 ,494.97,Corporate,12/28/2017,Second Class,Arkansas,Phones
5,516,Shipped Late,3,$367.96 ,4.00%,Office Supplies,Little Rock,United States,Monica Federle,5,0,1,12/23/2017,US-2017-162670,72209,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",14.7184,4,South,$0 ,367.96,Corporate,12/28/2017,Second Class,Arkansas,Storage
5,63,Shipped Late,3,$44.96 ,46.00%,Office Supplies,Little Rock,United States,Monica Federle,5,0,1,12/23/2017,US-2017-162670,72209,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",20.6816,2,South,$0 ,44.96,Corporate,12/28/2017,Second Class,Arkansas,Paper
5,256,Shipped Late,3,$182.94 ,47.00%,Office Supplies,Little Rock,United States,Monica Federle,5,0,1,12/23/2017,US-2017-162670,72209,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",85.9818,3,South,$0 ,182.94,Corporate,12/28/2017,Second Class,Arkansas,Envelopes
7,38,Shipped Late,6,$27.46 ,36.00%,Furniture,Danbury,United States,Julia Barnett,6,0,1,12/23/2017,CA-2017-110625,6810,DAX Wood Document Frame,9.8856,2,East,$0 ,27.46,Home Office,12/30/2017,Standard Class,Connecticut,Furnishings
2,40,Shipped Early,3,$28.67 ,36.30%,Office Supplies,College Station,United States,Michael Moore,1,20,1,12/23/2017,CA-2017-121216,77840,Spiral Phone Message Books with Labels by Adams,10.3936,8,Central,$0 ,28.672,Consumer,12/25/2017,Second Class,Texas,Paper
4,102,Shipped Early,6,$72.70 ,26.30%,Furniture,Hendersonville,United States,Darren Koutras,4,20,1,12/23/2017,CA-2017-140627,37075,"Executive Impressions 14"" Two-Color Numerals Wall Clock",19.0848,4,South,$0 ,72.704,Consumer,12/27/2017,Standard Class,Tennessee,Furnishings
4,17,Shipped Early,6,$12.26 ,8.70%,Office Supplies,Hendersonville,United States,Darren Koutras,4,20,1,12/23/2017,CA-2017-140627,37075,Pencil and Crayon Sharpener,1.0731,7,South,$0 ,12.264,Consumer,12/27/2017,Standard Class,Tennessee,Art
4,306,Shipped Early,6,$218.35 ,-25.00%,Office Supplies,Hendersonville,United States,Darren Koutras,4,20,1,12/23/2017,CA-2017-140627,37075,Safco Industrial Wire Shelving System,-54.588,3,South,$0 ,218.352,Consumer,12/27/2017,Standard Class,Tennessee,Storage
2,247,Shipped Early,3,$175.87 ,36.30%,Office Supplies,Rockford,United States,Jennifer Braxton,1,20,1,12/23/2017,CA-2017-117443,61107,Xerox 1940,63.7536,4,Central,$0 ,175.872,Corporate,12/25/2017,Second Class,Illinois,Paper
2,41,Shipped Early,3,$29.31 ,-255.00%,Office Supplies,College Station,United States,Michael Moore,1,80,1,12/23/2017,CA-2017-121216,77840,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,-74.7456,8,Central,$0 ,29.312,Consumer,12/25/2017,Second Class,Texas,Appliances
2,19,Shipped Early,3,$13.84 ,-160.00%,Office Supplies,Rockford,United States,Jennifer Braxton,1,80,1,12/23/2017,CA-2017-117443,61107,Wilson Jones International Size A4 Ring Binders,-22.144,4,Central,$0 ,13.84,Corporate,12/25/2017,Second Class,Illinois,Binders
